Country,mean_gdp_growth_last_years,gdp_volatility_std,mean_inflation,inflation_trend_direction,crisis_year_count
United Arab Emirates,4.7286661126363025,56329777678.313866,1.40537748378029,Upward,4.0
Afghanistan,0.455509636748053,2004213066.0193155,4.565203207777986,Downward,4.0
Albania,9.34495071886806,3440644396.805383,2.602229711027589,Upward,3.0
Armenia,15.192071720029668,4060541616.6102514,3.816734663182474,Downward,3.0
Angola,6.598994684795912,28424454219.02018,17.422729730370836,Downward,5.0
Austria,2.6393602896245545,36998492478.91922,2.7928598727654865,Upward,5.0
Australia,4.185668953221177,168097475754.96783,2.648634512676556,Upward,5.0
Azerbaijan,10.969998994607428,14156803976.858479,6.055319578698222,Upward,4.0
Bosnia and Herzegovina,6.313756022298254,3256102175.441966,1.9969204243422156,Upward,4.0
Barbados,5.054040713578267,431892591.111393,4.160806674613927,Upward,2.0
Bangladesh,6.535839757872337,123466649114.20293,6.973147960132377,Upward,1.0
Belgium,3.679215784916925,51279041872.32561,2.499495969716642,Upward,5.0
Burkina Faso,5.224196354029409,3183187447.4913583,2.0022778330392046,Upward,2.0
Bulgaria,9.259925178859834,16029600284.981298,3.2785889278353606,Upward,2.0
Bahrain,3.559608184063663,5757071921.993785,1.4399121530477912,Downward,3.0
Burundi,0.7233404134116398,328176778.6996113,9.407945600548706,Upward,4.0
Benin,6.8248950851248225,2965233553.6605325,1.5354080791992506,Upward,2.0
Brunei Darussalam,2.9733743349208845,2583877197.0232,0.5077625097927446,Upward,7.0
Bolivia,2.572685816337479,7502768173.05006,3.501776747807827,Upward,1.0
Brazil,3.579324190334225,343171219702.51434,5.972311970368106,Downward,7.0
"Bahamas, The",3.708784065507971,1338641323.7352037,2.010322519616048,Upward,3.0
Bhutan,2.551987746748119,375728219.8516947,6.203178868695127,Downward,4.0
Botswana,3.36147657462422,2272133067.191669,5.306655849073061,Downward,5.0
Belarus,3.8783460807995396,8881621241.188835,16.693433248746544,Downward,4.0
Belize,6.701680827355929,364610609.3951689,1.497293918585488,Upward,1.0
Canada,4.81135739541679,198379913003.97794,2.3008562834180517,Upward,5.0
"Congo, Dem. Rep.",7.667443073065174,6182060600.475547,5.402808006208501,Downward,1.0
Central African Republic,4.482283756766674,311615461.3734656,4.438430745774971,Upward,3.0
"Congo, Rep.",1.8963332696055388,2371756010.7554784,2.409273881849695,Upward,6.0
Switzerland,4.129782553134755,69706338425.87744,0.3626686037139834,Upward,4.0
Cote d'Ivoire,6.371060160181321,14151139355.547089,2.040471511443591,Upward,3.0
Chile,3.2722397883221577,31392690749.14181,4.026666844912878,Upward,5.0
Cameroon,4.421470872357845,6332929160.059613,2.636291064906312,Upward,4.0
China,5.362635005985014,3850218675404.6,2.25031966133738,Downward,1.0
Colombia,2.3690167411856993,37095712614.025764,4.663442105612407,Upward,5.0
Costa Rica,7.13669946663764,12161049817.703224,3.0546910112557772,Downward,1.0
Cabo Verde,3.5865457685613436,213340683.11722907,1.882529413415268,Upward,3.0
Cyprus,5.901070763869368,3849490284.9775953,1.3421537770313425,Upward,5.0
Czechia,6.6013976667361,44398863183.340225,3.5473710765993363,Upward,4.0
Germany,2.4074740719480348,323382131410.3342,2.09450297032162,Upward,5.0
Djibouti,7.10074232274645,910524469.8388776,2.3113186336005684,Downward,
Denmark,2.942936166190886,33863266250.63807,1.8226445497103458,Upward,4.0
Dominican Republic,7.914533424935909,20100966478.03964,4.31264558425301,Downward,1.0
Algeria,5.7040077855898685,25924425742.630585,5.337270701850694,Upward,4.0
Ecuador,2.3460378841500313,13765576423.151026,2.219429988461126,Downward,2.0
Estonia,5.916692659934069,6526084533.036833,4.008217319427685,Upward,3.0
"Egypt, Arab Rep.",9.554173033877984,75525766337.13765,13.090440633996199,Upward,2.0
Spain,2.8434728162130534,106835478978.58087,1.9300352363270192,Upward,5.0
Ethiopia,14.495658816554492,38513147837.90539,17.656076811502498,Upward,
Finland,1.658190455224362,18427633216.914185,2.057051915985707,Upward,4.0
Fiji,0.2053824231088349,718999433.7076837,2.606614332780815,Downward,4.0
France,2.1137042733242195,174474782115.71185,1.6714390930789806,Upward,5.0
Gabon,3.5352416545408,2083920000.6243074,2.3218986942236306,Upward,5.0
United Kingdom,3.6155710206011293,241591565920.06967,2.7752733562370175,Upward,6.0
Georgia,12.551778071917312,4575522668.189083,4.718819849420499,Downward,3.0
Ghana,2.7594175889548382,14636553401.859,14.92529774438026,Upward,3.0
"Gambia, The",7.5529297303091125,345038027.09526616,7.374575238226433,Upward,4.0
Guinea,13.495183766956014,4952696888.242835,11.378089989456326,Downward,2.0
Equatorial Guinea,3.3385987235327286,4707891603.96405,3.029972035619763,Downward,6.0
Greece,3.0179035652240764,32134212751.902126,1.4167916311902098,Downward,8.0
Guatemala,7.405368902412808,18693880576.96318,4.349851026026452,Upward,
Guinea-Bissau,4.2186164657167895,303033525.7029953,2.1128921553688693,Upward,2.0
Guyana,32.08176378452197,4253120739.2187715,2.4234490021097477,Downward,1.0
"Hong Kong SAR, China",1.1448365691586582,49507489082.09156,2.7424822532658597,Downward,2.0
Honduras,7.776273030493064,5320452763.477172,5.01290801662108,Upward,2.0
Croatia,6.947091321744847,8471770841.163337,2.2828386428151197,Upward,5.0
Haiti,5.416349123332064,2742812883.0239034,13.92262021782877,Upward,6.0
Hungary,6.203015101062621,25097100069.089424,4.641734180893053,Upward,4.0
Indonesia,5.832540518128451,177683381961.03934,4.204610078234774,Downward,4.0
Ireland,7.129342810829783,120993653878.96706,1.5453355808718225,Upward,1.0
Israel,6.706019070309148,94257214357.4764,1.440766850115876,Upward,3.0
India,5.982286023609342,615384728455.0012,6.572745166391904,Downward,1.0
Iraq,4.061721653131498,39391274987.68239,2.65395034739459,Upward,5.0
"Iran, Islamic Rep.",2.7847405505953247,103019847023.03397,26.04260361817339,Upward,6.0
Iceland,4.260351736618572,5647013339.74131,3.9732187010975832,Upward,4.0
Italy,2.16127715487455,143290259449.70984,1.9491538886476658,Upward,5.0
Jamaica,4.85090082325051,1605873167.7885437,6.473709523452046,Downward,4.0
Jordan,3.3192030502658083,7190302941.016406,2.5809388291135824,Downward,1.0
Japan,-3.3562418764721675,628614070361.4507,0.7262200327789604,Upward,8.0
Kenya,3.3712746829345357,23681782888.71147,6.97258241883455,Upward,1.0
Kyrgyz Republic,11.971239298367959,2408058608.2560625,6.9407778526345965,Upward,2.0
Cambodia,5.163173411740695,9381694812.613266,3.1497171825512167,Downward,1.0
Comoros,7.28363616081474,85173387.5590575,1.8043229746589802,Downward,1.0
"Korea, Rep.",0.049558188039453735,202549280815.38855,2.066587522590576,Upward,4.0
Kuwait,5.404143756354149,26033400656.30239,2.9719473007611055,Downward,5.0
Kazakhstan,8.311749266907217,34566395524.06727,8.452363394846888,Upward,4.0
Lao PDR,-2.3287664391603764,3872167204.6009994,7.172576937146293,Upward,2.0
Lebanon,-15.46482884825581,11207611587.07641,33.993016129185705,Upward,4.0
St. Lucia,5.391897367480039,297990358.8370131,1.7716934604048251,Upward,1.0
Sri Lanka,-1.7068891307149592,10459813441.97776,9.363615080156722,Upward,3.0
Liberia,4.627086686783455,568520394.0636436,11.574244821469208,Upward,3.0
Lesotho,-3.110868727585614,160934538.07794288,4.911402374264468,Upward,8.0
Lithuania,8.1586487638972,12579602834.338158,3.798090521230157,Upward,2.0
Luxembourg,4.088863785750356,9588590147.007822,2.1358549270416325,Upward,4.0
Latvia,5.09684284617971,5379845322.355714,3.176375030582993,Upward,3.0
Libya,-7.9592928675915005,16655531985.05794,8.120256758633737,Downward,7.0
Morocco,2.9780553958252787,12862023997.174685,1.887276052868921,Upward,4.0
Moldova,8.25068687827038,2810664586.8929334,7.922814863668618,Upward,3.0
Montenegro,7.350546326372575,990986058.8276528,2.8683046158668146,Upward,3.0
Madagascar,2.9741727805600426,1626859952.998299,7.189517898654318,Upward,2.0
North Macedonia,4.673855528107643,1843447279.0113711,3.0191895186899664,Upward,5.0
Mali,4.026876906270198,2967706744.2272334,1.8400662966314723,Upward,3.0
Myanmar,2.9714603508207738,6690128230.03364,6.1456692682060305,Upward,2.0
Mongolia,9.408777807401572,3124519094.8031435,8.36232067132676,Upward,4.0
"Macao SAR, China",6.390614721819428,11128409198.903149,3.0389454456680514,Downward,4.0
Mauritania,7.399007076528671,1437919323.106861,4.0937929173338095,Downward,3.0
Malta,7.085508718958415,4217107225.720178,1.97404870970261,Upward,3.0
Mauritius,0.701706773219577,1402575249.150405,3.8612141219944425,Upward,3.0
Maldives,7.313873943577489,1303891897.578064,3.073389816517935,Downward,1.0
Malawi,5.244669203344938,1706134718.8062072,16.570951217879994,Upward,3.0
Mexico,8.122345951227224,176149001816.88818,4.437858505095037,Upward,3.0
Malaysia,2.4129639829057203,42341980811.50726,2.0377585851715936,Upward,4.0
Mozambique,7.2803748533791435,2600820404.113426,7.36503848725252,Downward,3.0
Namibia,-1.4307300164454382,877932798.294214,4.973106693231886,Upward,6.0
New Caledonia,-2.9638462202010976,822193945.1876391,1.1306598518030495,Downward,3.0
Niger,5.602106266780127,2699135144.496382,1.7559805610805452,Upward,1.0
Nigeria,-1.9793508299786766,60552741251.91496,13.69564355100143,Upward,5.0
Nicaragua,6.692480449873533,2339343174.915119,5.9330408300085065,Upward,3.0
Netherlands,4.585517331304971,104570187893.8266,2.427014971068161,Upward,4.0
Norway,3.8990007239934075,67871435857.00491,2.653153450148711,Upward,6.0
Nepal,4.4701614677734245,7942784731.145829,7.09296445058573,Downward,2.0
New Zealand,3.826839384322427,31932588682.00213,2.4514646652672676,Upward,3.0
Oman,4.573686872876152,12715689049.44087,1.5136086257279595,Downward,5.0
Panama,5.190667089932097,15290479700.387074,2.0217697869026225,Downward,1.0
Peru,4.126528754270643,30298204582.016415,3.5331091286807785,Upward,3.0
Papua New Guinea,5.360580491203724,4499330917.995569,4.891155739315718,Downward,5.0
Philippines,4.859623596674456,66111190561.12237,3.4512675223038074,Upward,1.0
Pakistan,-0.512209080896697,52046190199.899605,10.38094907780823,Upward,3.0
Poland,6.579477920715834,99189608179.6668,3.5994002620298957,Upward,3.0
West Bank and Gaza,3.852995247534417,2727400379.035704,1.532030559710113,Downward,2.0
Portugal,3.8389017021424516,22911779115.178818,1.7870158338231719,Upward,4.0
Paraguay,1.572808467675015,4105213401.860695,4.485559573834338,Downward,5.0
Qatar,4.810162617247758,29303173768.817196,1.4187109794253199,Upward,5.0
Romania,7.7988860955306905,54393825004.07642,4.271292845627376,Upward,2.0
Serbia,9.38373429424598,11279181649.090971,5.275421845175492,Upward,3.0
Russian Federation,8.476352830026553,334238942321.08295,6.552223877773191,Downward,4.0
Rwanda,8.130927859031647,2269177330.8114414,6.381476928069097,Upward,1.0
Saudi Arabia,5.757051273624367,155661362359.14404,2.4222965066390794,Downward,5.0
Solomon Islands,0.27349515777472366,223565480.17437783,3.1884710468570154,Upward,3.0
Sudan,7.8980980494729325,9932915013.428442,75.57843241401181,Upward,6.0
Sweden,1.5463908168500846,38494731621.8018,2.202266799935953,Upward,5.0
Singapore,6.47225343531984,78105385579.4152,2.115823856065528,Upward,2.0
Slovenia,5.495401320919268,7296960185.549876,2.180746543298723,Upward,4.0
Slovak Republic,4.7560663941499115,12545017627.678442,3.1317622204150775,Upward,4.0
Sierra Leone,0.23195878697762637,1059012308.7582296,14.109413577983753,Upward,5.0
Senegal,6.059055084908107,4491623783.467935,2.1815458867080646,Upward,2.0
Suriname,1.839507013835354,861828850.8048218,26.442716548003457,Upward,4.0
South Sudan,-0.34659277396643307,2387963126.5565925,24.655038977214705,Upward,3.0
Sao Tome and Principe,12.338313861249016,144101406.3567653,10.184762115528045,Upward,1.0
El Salvador,5.806666103502647,4360923258.342647,1.8805128374277118,Upward,1.0
Syrian Arab Republic,3.8804576970750815,19755326937.448315,21.541194835107948,Upward,4.0
Eswatini,2.030681920104167,379711943.0604656,5.7291938678945336,Downward,5.0
Chad,3.3234140571844977,1185349085.0206041,2.502756869112251,Upward,4.0
Togo,5.645653798181152,1261085860.7374148,2.388302941513552,Upward,4.0
Thailand,0.46127235531768784,62855420763.79935,1.6832275768961442,Downward,4.0
Tajikistan,2.1743314408672405,1209312334.0617769,6.79160626937521,Downward,2.0
Timor-Leste,11.59630819642609,777749994.4274056,4.775939174227056,Upward,4.0
Tunisia,2.7656656732442615,2733226502.1461926,5.536563100377821,Upward,6.0
Tonga,2.4421195258749395,44300816.21355305,3.5195929653906477,Upward,5.0
Turkiye,8.016808870128287,99954590004.00314,18.315774007405583,Upward,6.0
Trinidad and Tobago,3.155633357574259,2785165596.0431085,4.324866627208379,Downward,5.0
Tanzania,6.7691486495191455,14655103283.170828,6.218975954902741,Downward,1.0
Ukraine,16.74669222556367,36028790757.90858,11.47628280011604,Downward,2.0
Uganda,8.194121046426307,6852595319.485171,5.803918973473247,Upward,3.0
United States,6.14446728087878,3839682998995.0938,2.554926649330251,Upward,1.0
Uruguay,4.0503127656017694,8628191788.316946,8.059421314990997,Downward,4.0
Uzbekistan,11.807438523915035,12654015295.53791,12.00320807339344,Downward,4.0
St. Vincent and the Grenadines,3.9747399889830333,100783213.57542737,1.5862243660478892,Upward,2.0
"Venezuela, RB",7.07113231441913,59949120878.483215,35.630950030825844,Upward,2.0
Viet Nam,6.7814675183889594,87792653611.73952,5.162667094547428,Downward,
Vanuatu,4.346750652380202,128365171.25471659,3.162819921357676,Upward,3.0
Samoa,1.512476160078684,68539458.78414457,2.6908145744157954,Upward,5.0
"Yemen, Rep.",8.796329627212984,5179961362.906786,11.935390140945291,Downward,
South Africa,-0.47034832418144423,37363060102.02665,5.186148474131293,Upward,9.0
Zambia,2.9549832823461726,3346374259.965329,10.50897828817306,Upward,6.0
Zimbabwe,-6.319940378170715,10371908093.364208,79.61135123223463,Upward,2.0
